Transaction Amount,Transaction Date,Is Fraudulent,Customer ID,hour_of_day,day_of_week,is_weekend,days_since_epoch,time_since_last_txn,amount_scaled,Institution,SyntheticChunkID
171.21408958428853,2024-01-31 14:12:18,0,3da16da2-e301-48cc-b864-62e23f5d9ea4,14,2,0,19751,,0.945477097112213,Institution_B,Chunk_1
432.08147183999597,2024-02-04 15:43:12,0,c024170b-c326-4cdf-91fc-0abf2e01bb74,12,5,1,19746,168085.0,4.976462508672385,Institution_B,Chunk_1
534.2707014126584,1970-01-02 00:03:38,0,16136,19,2,0,1,,8.315324107899025,Institution_A,Chunk_1
520.5299144106491,2024-02-06 19:18:17,0,dd698215-610b-4eb5-93fb-3ad69744ce7a,15,5,1,19774,,5.973853627579926,Institution_B,Chunk_1
52.64524510431164,2023-12-26 10:49:57,0,6952,17,1,0,19721,,-0.08633850081594463,Institution_B,Chunk_1
300.497333574782,2024-02-25 03:18:09,0,107b1269-2f71-499e-9c11-cae6522eca17,4,0,0,19779,,2.2727184385109287,Institution_B,Chunk_1
133.31053047090143,2024-01-27 06:00:39,0,25d37f30-804b-4eb1-bc34-0ce3b6db9cdd,3,5,1,19753,168200.0,0.8012111194775999,Institution_B,Chunk_1
105.21605075067536,2024-02-21 04:18:51,0,0b327a2d-9a8c-4083-8144-793ada9a3345,6,0,0,19781,168149.0,0.40283140964360226,Institution_B,Chunk_1
150.88416375370835,2024-02-10 09:32:17,0,a4d40d40-73b3-4e5f-9865-d1b1035e2590,3,0,0,19757,,0.6777606572636783,Institution_B,Chunk_1
338.8719156121504,2024-02-08 10:13:57,0,e4f1ae38-19a2-468d-b59e-1c94580ccb5c,15,5,1,19755,168298.0,4.727572951987888,Institution_B,Chunk_1
87.52939574030339,2024-01-07 15:42:09,0,5297,18,5,1,19726,169800.0,0.24594879211845536,Institution_B,Chunk_1
649.355749363242,2024-02-24 18:34:38,0,607ee67a-d3c0-46a7-8140-75ac3057c96a,5,2,0,19779,167858.0,7.3601903275581915,Institution_B,Chunk_1
27.819429065939474,2024-02-03 15:16:23,0,3605,5,5,1,19769,167943.0,-0.7419726323000004,Institution_B,Chunk_1
202.19910986946067,1970-04-25 04:31:56,0,4a63a0d2-4334-4e48-ae50-3398015ccdc5,16,2,0,117,,1.8089677385513072,Institution_A,Chunk_1
328.063834276164,2024-02-15 11:01:29,0,18268,5,3,0,19779,,3.025563152234627,Institution_B,Chunk_1
48.61043057097045,2024-01-16 09:36:58,0,61567394-852f-493d-b2e7-ee538ecd3609,2,5,1,19746,,-0.34554176886624,Institution_B,Chunk_1
212.1453861283679,1970-04-01 15:59:28,0,10486,21,4,0,72,,2.0546144580618932,Institution_A,Chunk_1
90.40733348528619,2024-01-10 01:27:54,0,29a5090b-4b34-4723-917b-52b99aa81b6f,17,5,1,19720,,0.1834053118633882,Institution_B,Chunk_1
107.98652787353024,1970-07-14 06:13:23,0,17188,12,3,0,206,2111.0,0.590421067775048,Institution_A,Chunk_1
489.1155350744422,2024-01-17 18:33:38,0,0978e864-ee4a-4eb2-8332-6827b75d082a,15,5,1,19739,,5.31246744177761,Institution_B,Chunk_1
50.03046308433713,1970-03-16 01:53:54,0,d563a598-0089-4db0-89e2-5156f6826529,23,5,1,46,0.0,-0.48817592390585907,Institution_A,Chunk_1
