transaction_id,user_id,device_id,merchant_id,amount,timestamp,label
3a7b8563-8305-4158-921d-5b4ba152d6e2,2547,dev_4269,merch_4326,3040.55,2025-07-10 01:08:24,0
fadc4b4a-4c47-4dbd-8806-0013f9c6a9b5,2704,dev_6024,merch_3102,411.44,2025-07-10 18:47:55,0
f383bf77-7bfa-40a3-83c9-0ec5574b91f1,1295,dev_6473,merch_3728,5981.78,2025-07-10 03:47:11,0
58c83136-f2d1-4038-824d-4dd121fc32ba,7667,dev_3597,merch_5836,923.59,2025-07-10 09:43:02,0
8dbfbc00-890a-44d5-866b-d33dc5b825d0,7220,dev_9714,merch_7626,1274.87,2025-07-10 19:32:55,0
f29ac6d1-d64f-4dbc-bb85-670e6c229bb8,5340,dev_5362,merch_3260,2631.63,2025-07-10 13:32:23,0
ababf8cc-df54-42a9-b7db-f51ea4211f6e,9579,dev_2080,merch_7767,587.94,2025-07-10 07:13:32,0
ba1b7ed8-a513-485d-93ba-95a031696135,7623,dev_1386,merch_3421,4818.58,2025-07-10 16:41:22,0
e2b44d58-4eb9-4cc4-84c6-4fbdd4dc5a22,5474,dev_5635,merch_4565,736.04,2025-07-10 10:55:27,0
ae63c956-4120-43d7-bfdc-afa75c29fe2a,1805,dev_4146,merch_9230,7006.26,2025-07-10 09:48:09,0
22b4f6d7-1301-48f5-b73b-d7ed449ec54c,7961,dev_5609,merch_2033,5056.56,2025-07-10 18:33:51,0
5f9b549d-edbc-4b32-b81e-6bbd9c46bd50,4549,dev_5773,merch_2818,1705.11,2025-07-09 23:31:56,0
248f7859-c679-420f-ad4c-14dbf5d38c1f,2994,dev_8484,merch_6645,6538.5,2025-07-10 13:29:14,0
22403a46-783f-461d-ae1a-8c13d30ae4fc,2058,dev_2369,merch_2978,452.66,2025-07-10 05:45:11,0
e16e32fa-382f-451c-a645-cca85c6ad2d5,6480,dev_5781,merch_2816,4241.77,2025-07-10 14:42:38,0
e68f0c1c-7b9f-4cd4-ad0c-c276648fd080,9224,dev_8998,merch_1219,278.21,2025-07-10 08:15:01,0
ad8cb4b0-28ff-4135-9e8e-0feedc6d9ffd,4231,dev_3380,merch_9480,5465.45,2025-07-10 14:38:13,0
55f4b10b-a9e4-471f-8a08-90aec376e0a5,4464,dev_9265,merch_6304,2858.47,2025-07-10 09:37:59,0
37761162-21bd-4362-83d1-0f68ffbaaad6,3379,dev_7137,merch_2340,893.99,2025-07-10 05:01:58,0
25181aac-e411-4992-9c20-38ee2973bf6a,9683,dev_6501,merch_3108,365.63,2025-07-10 20:45:58,0
174e9dd5-8480-4fed-a39c-7d1384e32028,5864,dev_4236,merch_1795,3915.14,2025-07-09 21:16:04,0
ac40b8c8-bff4-4156-9dcf-caf9f2cff64c,5216,dev_4536,merch_5901,11688.31,2025-07-10 20:57:48,0
3312b84e-ac6a-4f50-b7f5-f60115f936e5,6019,dev_4111,merch_1013,289.23,2025-07-10 07:10:56,0
be815f82-ef15-4f4e-8505-8a4f6f32b0da,7989,dev_8953,merch_5082,2618.31,2025-07-10 15:02:02,0
a0e1ed8e-e6a0-4958-89be-de91f340ca88,1770,dev_4064,merch_7558,6124.28,2025-07-10 20:30:32,0
a1f5793f-8d3e-4879-bb61-ce7e101490ba,5214,dev_4954,merch_3802,732.77,2025-07-10 14:13:06,0
447bc3ed-1970-4f2f-90b1-9da9d314dc11,6468,dev_1893,merch_4001,623.69,2025-07-10 00:13:12,0
2b5fd546-909d-4632-adf5-297d7ea3df77,2353,dev_7907,merch_8011,337.41,2025-07-10 16:20:28,0
00ae151d-6522-47d8-b9ab-ab48ce153734,2455,dev_2230,merch_2170,10767.76,2025-07-09 23:28:55,0
db5ff162-d029-42c9-9083-9ef58f25bdff,7217,dev_7374,merch_5524,5549.87,2025-07-10 10:16:05,0
db4164ce-3ff1-4668-a99b-a947b502852e,6319,dev_5712,merch_1116,648.35,2025-07-10 00:02:46,0
b5bddcdd-0cef-49d8-82d2-19c319da19fc,5810,dev_6302,merch_4315,522.61,2025-07-10 15:12:25,0
27834ad5-5031-4ece-81fd-23db8505d507,4513,dev_9897,merch_1159,1420.38,2025-07-10 14:41:19,0
b3abc8ab-42a5-4ebe-abd9-e67b26a3c7eb,1901,dev_9620,merch_5627,17329.18,2025-07-10 15:15:25,0
aa76a887-f2fc-44f8-a1f5-63002b556703,3560,dev_5435,merch_8428,4578.32,2025-07-10 19:04:54,0
c0f3d0d1-d53b-4925-8415-09539ff74d5a,2209,dev_2594,merch_1429,4640.74,2025-07-10 08:54:54,0
58341ac4-efb8-41cf-9776-2ad884205ea7,5257,dev_9299,merch_5350,7450.93,2025-07-09 22:02:18,0
d80e7dd2-f58d-4d41-856a-b3e56f50e5a7,6890,dev_7485,merch_5078,7406.27,2025-07-10 12:43:20,0
eba4e6c3-6cd0-4a1f-91a3-34713366b2cb,2934,dev_3159,merch_3279,1412.07,2025-07-10 03:56:37,0
2dea9f4f-7fd2-449c-9996-9b621fca91c2,8876,dev_4082,merch_9329,1897.13,2025-07-10 04:39:48,0
e4d91a03-18b8-4f1c-aab3-810820e39b11,6924,dev_7065,merch_6359,4810.79,2025-07-10 12:20:35,0
e1a796c5-989b-4334-a3d4-40492b0e03be,6709,dev_4333,merch_2042,757.26,2025-07-10 19:36:23,0
81b51076-5f6d-4e8c-af5f-9dd665241c95,2405,dev_8384,merch_9531,7508.07,2025-07-10 05:09:24,0
d3c5025f-9834-440e-ae63-a243e7de9719,8902,dev_8898,merch_2084,2508.78,2025-07-10 10:04:33,0
0225c296-f309-43c5-9e3c-a56fa8f1dfee,7356,dev_9627,merch_5337,690.09,2025-07-10 06:05:25,0
61f58cef-5482-443a-b960-d6e9a3ee3552,6528,dev_8546,merch_1649,9870.27,2025-07-10 20:38:07,0
f3559496-f23c-4322-9faa-26378e2b2302,9920,dev_8000,merch_7664,2267.72,2025-07-10 11:00:37,0
f6ad960a-a45a-496b-8a83-ae4e7ef3d2a5,5795,dev_3988,merch_4725,1049.67,2025-07-10 19:27:56,0
3eb99aec-aaf7-4442-ab92-0d8eba7e595f,5290,dev_3365,merch_8074,33.48,2025-07-10 04:18:24,0
df8abb7f-f8b2-4a96-b623-0effac4d55a1,2202,dev_1817,merch_6957,6975.91,2025-07-10 13:40:20,0
d758a43a-e2da-4d3f-b110-a95511378892,6665,dev_3645,merch_6762,1376.1,2025-07-10 13:26:48,0
70d6bc69-2e23-44fd-8802-d07ece35b247,3672,dev_2334,merch_8333,1894.04,2025-07-10 08:01:42,0
c783e943-bb5f-44d5-b8f1-ea8effecd497,9217,dev_4561,merch_7531,2275.79,2025-07-09 21:58:12,0
eeddaa83-916d-4b78-b79b-4512edc1193f,2238,dev_5159,merch_1868,5356.54,2025-07-10 06:14:41,0
f90f5daa-39b4-44cb-95c0-7e3de9417769,2522,dev_8796,merch_7469,1206.45,2025-07-09 21:36:04,0
a9b0a274-06d4-4cae-9f01-ba31decbb7f2,4814,dev_6320,merch_9815,5265.15,2025-07-10 01:33:23,0
55241577-8fd2-44a7-bb20-e0edcf571d6b,7364,dev_5285,merch_8965,2349.82,2025-07-09 23:43:05,0
6b0fca27-3166-4fae-bfe7-08b42ae79113,6106,dev_5470,merch_4276,6109.86,2025-07-10 03:35:16,0
3b83f309-e202-4cd1-91cc-4c5170da42c0,8372,dev_5132,merch_2304,505.03,2025-07-10 13:35:46,0
0caa6cc8-a687-4c21-89d7-f63919c51465,4847,dev_8349,merch_6762,530.9,2025-07-10 05:30:20,0
